,1,2,3,4,5,6,7,8,9,10
a,0,0,0,0,0,0,0,0,0,0
about,0,0,0,0,0,0,0,0,0,0
accord,1,0,0,0,0,0,0,0,0,0
account,0,1.3010299956639813,0,0,0,0,0,0,0,0
acquire,0,0,0,1,0,0,0,0,0,0
acquisition,0,0,0,0,1,0,0,0,0,0
additional,0,0,0,0,0,0,0,1,0,0
adjusted,0,0,0,0,0,0,0,0,0,1
administration,0,0,0,0,0,0,0,1,0,0
advertise,0,0,0,0.6989700043360187,0.6989700043360187,0,0,0,0,0
aeronautics,0,0,0,0,0,0,0,1,0,0
after,0,0,0,0,0,0,0,0,0,0
agency,0,0,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187
agreement,0,0,0,0,1,0,0,0,0,0
aircraft,0,0,0,0,0,0,1,0,0,0
ala,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187,0,0
alloy,0,0,0,0,0,1.3010299956639813,0,0,0,0
an,0,0,0,0,0,0,0,0,0,0
and,0,0,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0,0,0
asset,0,0,0,1,0,0,0,0,0,0
association,1,0,0,0,0,0,0,0,0,0
at,0,0,0,0,0,0,0,0,0,0
auto,1,0,0,0,0,0,0,0,0,0
base,0,0,0,0,0,1,0,0,0,0
based,0,0,0,0,0,0,1,0,0,0
basis,0,0,0,0,0,0,0,0,0,1
be,0,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187,0,0
blair,0,0,0.5228787452803376,0.6802809317048656,0.5228787452803376,0,0,0,0,0
blair's,0,0,0,1,0,0,0,0,0,0
boeing,0,0,0,0,0,0,1.032463449816228,0.9093809417105434,0,0
broadcast,0,0,1,0,0,0,0,0,0,0
by,0,0,0,0,0,0,0,0,0,0
canada,0,0,0,0,0,0,0,0,0,1
canadian,0,0,0,0,0,0,0,0,0,1.3010299956639813
capability,0,0,0,0,0,1,0,0,0,0
capital,0,0,0,1,0,0,0,0,0,0
cbs,0,0,0.9093809417105434,0,0.6989700043360187,0,0,0,0,0
center,0,0,0,0,0,0,0,1,0,0
close,0,0,0,0,1,0,0,0,0,0
co,0,0,0,0,0.5228787452803376,0.5228787452803376,0,0.6802809317048656,0,0
cold,0,0,0,0,0,1,0,0,0,0
comment,0,0,1,0,0,0,0,0,0,0
commercial,0.6989700043360187,0,0,0,0,0,0.6989700043360187,0,0,0
comprise,0,1,0,0,0,0,0,0,0,0
computer,0,0,0,0,0,0,0.9093809417105434,0.9093809417105434,0,0
consolidate,0,0,0,0,0,0,1,0,0,0
contract,0,0,0,0,0,0,0.9093809417105434,0.9093809417105434,0,0
contractor,0,0,0,0,0,0,1,0,0,0
contrast,0,1,0,0,0,0,0,0,0,0
could,0,0,0,0,0,0,0,0,0,0
current,0,1.3010299956639813,0,0,0,0,0,0,0,0
december,0,0,0.6989700043360187,0,0,0,0,0,0,0.6989700043360187
december's,0,0,0,0,0,0,0,0,0,1
decline,1,0,0,0,0,0,0,0,0,0
decrease,0,0,0,0,0,0,0,0,0,1
defense,0,0,0,0,0,0,1,0,0,0
deficit,0,1,0,0,0,0,0,0,0,0
detroit,0,0,0,0,0,0,1,0,0,0
divest,0,0,0,1,0,0,0,0,0,0
down,0,0,0.6989700043360187,0,0,0,0,0,0,0.6989700043360187
downward,0,0,0,0,0,0,0,0,1,0
during,0,0,0,0,0,0,0,0,1,0
earlier,0.9093809417105434,0.6989700043360187,0,0,0,0,0,0,0,0
early,0,0,1,0,0,0,0,0,0,0
electrode,0,0,0,0,0,1,0,0,0,0
equipment,0,0,0,0,0,0,0,1,0,0
executive,0,0,0.6989700043360187,0,0.6989700043360187,0,0,0,0,0
existing,0,0,0,0,0,0,1,0,0,0
facility,0,0,0,0,0,1,0,0,0,0
fall,0,0,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187
february,0.6989700043360187,0.6989700043360187,0,0,0,0,0,0,0,0
federal,0,0,0,0,0,0,0,0,0,1
figure,1,0,0,0,0,0,0,0,0,0
flight,0,0,0,0,0,0,0,1,0,0
follow,0,0,0,0,0,0,0,0,0.9093809417105434,0.6989700043360187
for,0,0,0,0,0,0,0,0,0,0
forging,0,0,0,0,0,1,0,0,0,0
former,0,0,0,0,1,0,0,0,0,0
from,0,0,0,0,0,0,0,0,0,0
generally,0,0,0,0,0,0,0,0,1,0
good,0,1,0,0,0,0,0,0,0,0
gordon,0,0,0,0,0,1,0,0,0,0
government,0.6989700043360187,0.6989700043360187,0,0,0,0,0,0,0,0
group,0,0,0,0.6989700043360187,0.6989700043360187,0,0,0,0,0
h,0,0,0,0,1,0,0,0,0,0
half,0,0,0,0,0,0,0,0,1,0
have,0,0,0,0,0,0,0,0,0,0
hearth,0,0,0,0,0,1,0,0,0,0
huntsville,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187,0,0
improve,0,0,0,0,0,1,0,0,0,0
in,0,0,0,0,0,0,0,0,0,0
inc,0,0,0,0.5228787452803376,0.5228787452803376,0,0.5228787452803376,0,0,0
increase,0,0,0,0,0,0,0,0,0.6989700043360187,0.6989700043360187
indication,0,0,0,0,0,0,0,0,1,0
industrial,1,0,0,0,0,0,0,0,0,0
industry,0,0,0,0,1.3010299956639813,0,0,0,0,0
initial,0,0,0,0,0,0,0,1,0,0
install,0,0,0,0,0,1,0,0,0,0
invest,0,0,0,0,0,1,0,0,0,0
investor,0,0,0,0,1,0,0,0,0,0
irregular,0,0,0,0,0,0,0,0,1,0
it,0,0,0,0,0,0,0,0,0,0
italian,1,0,0,0,0,0,0,0,0,0
italy,1.3010299956639813,0,0,0,0,0,0,0,0,0
